Former firm,New firm,New job title,Team (IMP defined),Seniority (IMP defined)
AMP Capital,IFM Investors,Head of Real Estate,Deal/investment team,Senior Managing Director
CBRE Asia Pacific,IFM Investors,Head of Property,Deal/investment team,Managing Director
Dexus,PGIM,"Head of Real Estate Equity, Australia",Deal/investment team,Senior Managing Director
ISPT,IFM Investors,"Chief Sustainability Officer, Real Estate",ESG,Senior Managing Director
ISPT,IFM Investors,"Head of Portfolio, Office",Portfolio operations,Senior Managing Director
ISPT,IFM Investors,Head of Property Operations,Portfolio operations,Senior Managing Director
ISPT,IFM Investors,Head of Strategic Research | Real Estate,Strategy,Senior Managing Director
ISPT,IFM Investors,Head of Capital Works & Technical Services,Technology,Senior Managing Director
ISPT,IFM Investors,"Head of Portfolio, Industrial",Deal/investment team,Advisor
Rest,CVC,Managing Director / Deputy CIO,Deal/investment team,Managing Director
Other,PGIM,Head of Australia Real Estate Debt,Deal/investment team,Senior Managing Director
Other,EQT,Industry Advisor,Strategy,Advisor
McKinsey & Company,CVC,Operating Partner,Operations,Senior Managing Director
AURIN Investment Group,Apollo Global Management,Advisor,Strategy,Advisor
BlackRock,Ares Management Corporation,Head of Wealth Distribution Germany & Austria,Deal/investment team,Senior Managing Director
BlackRock,Blackstone,"Managing Director,  Blackstone Institutional Client Solutions",IR (capital raising),Managing Director
Deutsche Bank,DWS Group,Head of Private Corporate Credit,Deal/investment team,Senior Managing Director
Vitruvian Partners,EQT,"Managing Director, Growth investment team",IR (capital raising),Managing Director
Bharti Realty,Brookfield,Head of Operations,Operations,Managing Director
Deutsche Bank,Blackstone,Managing Director,IR (non-capital raising),Managing Director
DWS Group,Goldman Sachs,India Head – Illiquid Asset Operations ,Operations,Managing Director
Other,Bain Capital,"Partner, Head of India Special Situations and Real Estate",Deal/investment team,Partner
San Quirico SpA,Ardian,Senior Advisor,Strategy,Advisor
Tristan Capital Partners,Starwood Capital Group,Head of Legal,Legal,Managing Director
BlackRock,IFM Investors,Global Client Solutions IFM Investors,IR (non-capital raising),Senior Managing Director
Volue,Partners Group,Managing Director,Technology,Managing Director
Asian Development Bank (ADB),EQT,Advisor,Strategy,Senior Managing Director
Google,Warburg Pincus LLC,Senior Technology & AI Advisor,Technology,Advisor
Granite Asia,"Oaktree Capital Management, L.P.",Managing Director and Co-Head of Asia (Performing Credit),IR (capital raising),Managing Director
Santander Corporate & Investment Banking,Apollo Global Management,Managing Director,IR (non-capital raising),Managing Director
Bardo,CVC,"Managing Director, Digital Enablement",Technology,Managing Director
BlackRock,DWS Group,Head of Institutional Coverage for Switzerland,IR (non-capital raising),Senior Managing Director
UBS,Partners Group,"Private Equity Investments, Managing Director",Deal/investment team,Managing Director
ZEDRA Group,CVC,Industry Advisor,Strategy,Advisor
Other,Partners Group,Senior Advisor,Strategy,Advisor
Sequent Group,Partners Group,Global Head Reporting,Accounting,Senior Managing Director
AllianceBernstein,Barings,"Senior Director, Middle East",IR (non-capital raising),Senior Managing Director
King Street Capital Management,HarbourVest Partners,"Managing Director, Head of Middle East",IR (non-capital raising),Managing Director
Warburg Pincus LLC,Partners Group,"Partner, Co-Head of Technology",Technology,Senior Managing Director
AB CarVal,Blackstone,"Senior Managing Director, Head of European Residential and Consumer Credit",Deal/investment team,Senior Managing Director
Allianz Global Investors,DWS Group,Head of Market Data Services,Quant/data science,Senior Managing Director
Apollo Global Management,Blackstone,Head of European Corporate Private Equity,Deal/investment team,Senior Managing Director
Chenavari Investment Managers,"Oaktree Capital Management, L.P.",Managing  Director - Product Strategy,Strategy,Managing Director
ClearBank,Brookfield,CPTO Advisor,Technology,Advisor
Davies Group,CVC,Interim Head of Portfolio Procurement,Portfolio operations,Senior Managing Director
DB Investment Partners,DWS Group,Private Credit COO,Operations,C-level
Ennov,CVC,Portfolio Technology Advisor,Technology,Advisor
ICG,CVC,Managing Director and Head of Risk,Risk,Managing Director
JLL,EQT,Senior Business Consultant,Strategy,Advisor
LaSalle Investment Management,ICG,Global Fund Structuring and Legal Director,Legal,Senior Managing Director
Morgan Stanley,CVC,Head of Shareholder Relations,IR (non-capital raising),Senior Managing Director
Morgan Stanley,Blackstone,"Senior Managing Director & Vice Chairman, Europe",Business development,Senior Managing Director
Prudential plc,Blackstone,Managing Director - Insurance Regulatory Solutions,Risk,Managing Director
Rothschild & Co,The Carlyle Group,EMEA Head of Compliance,Compliance,Senior Managing Director
Santander Corporate & Investment Banking,Apollo Global Management,Managing Director,Deal/investment team,Managing Director
Signal Capital Partners Limited,Clearlake Capital Group,Head of Legal & Compliance (UK) Clearlake Credit,Legal,Senior Managing Director
Simpson Thacher & Bartlett LLP,EQT,Legal Director,Legal,Director/Principal
Other,Brookfield,Managing Director,Deal/investment team,Managing Director
Abata Therapeutics,Bain Capital,"Managing Director, Life Sciences",Deal/investment team,Managing Director
AEA Investors LP,The Carlyle Group,Managing Director,IR (capital raising),Managing Director
AIG,Blackstone,Managing Director,Accounting,Managing Director
Aksia,Apollo Global Management,Managing Director,IR (capital raising),Managing Director
Alberta Investment Management Corporation (AIMCo),ICG,Senior Advisor for Canada,Strategy,Senior Managing Director
AllianceBernstein,Apollo Global Management,"Managing Director, COO of Investment Grade Credit",Deal/investment team,Managing Director
Bain & Company,Silver Lake,Global Head of AI and Managing Director,Technology,Senior Managing Director
Bessemer Trust,Blue Owl Capital,Managing Director & Global Controller,Accounting,Managing Director
BlackRock,Blackstone,Managing Director,Deal/investment team,Managing Director
BlackRock,Golub Capital,"Managing Director, Insurance Solutions",Deal/investment team,Managing Director
Bloomberg LP,KKR,"Managing Director, Global Head of Investment Technology",Technology,Managing Director
Brigade Capital Management,The Carlyle Group,"Chief Technology Officer, Global Credit",Technology,C-level
Citi,Apollo Global Management,Managing Director Strategic Finance - Head of Resource Management,Accounting,Managing Director
Citi,Apollo Global Management,"Managing Director, Global Head of Liquidity Management at Apollo",Operations,Managing Director
Credit Suisse,Apollo Global Management,COO - FIG & Strategy,Operations,C-level
Crescent Capital Group LP,The Carlyle Group,Managing Director,Deal/investment team,Managing Director
ESL FACEIT Group - EFG,The Carlyle Group,Head of Data & Analytics for Investor Relations,IR (non-capital raising),Senior Managing Director
Fortress Investment Group,Ares Management Corporation,"Managing Director, Ares Real Estate",Deal/investment team,Managing Director
Global Atlantic Financial Group Limited,KKR,Managing Director,Deal/investment team,Managing Director
Goldman Sachs,The Carlyle Group,Head of Portfolio Allocation,Portfolio operations,Senior Managing Director
Goldman Sachs,The Carlyle Group,Partner - North America Head Of Client Business,IR (non-capital raising),Senior Managing Director
H.I.G. Capital,The Carlyle Group,Managing Director - Carlyle Global Credit,IR (capital raising),Managing Director
Houlihan Lokey,Starwood Capital Group,Head of Data,Quant/data science,Senior Managing Director
Invesco,Apollo Global Management,"Partner, Head of Real Estate Equity",Deal/investment team,Partner
JP Morgan,Blackstone,"Managing Director, Product Speciallst Team (Private Credit)",IR (non-capital raising),Managing Director
KKR,TPG,Global Head of Family Office,Deal/investment team,Senior Managing Director
KKR,Blackstone,Managing Director,Portfolio operations,Managing Director
KKR,Blue Owl Capital,"Managing Director, Head of North America Insurance Portfolio Strategy",IR (non-capital raising),Managing Director
Legion Technologies,"Oaktree Capital Management, L.P.",Head of AI and Data Science,Technology,Managing Director
LTS Investments,Brookfield,Senior Advisor,Business development,Advisor
McKinsey & Company,Apollo Global Management,"Partner, Co-Head of New Markets",Deal/investment team,Senior Managing Director
Microsoft,Warburg Pincus LLC,AI Advisor,Technology,Advisor
MidCap Financial,Blackstone,Managing Director,Capital markets,Managing Director
Nike,Apollo Global Management,Partner & Chief Sustainability Officer,Operations,Partner
Nuveen,Macquarie Asset Management,"Director, Platform Development – Private Markets Solutions",Deal/investment team,Director/Principal
"Nuveen, a TIAA company",Ares Management Corporation,"Partner, Chief Information Officer and Head of Technology",Technology,C-level
"Oak Hill Advisors, L.P.",Apollo Global Management,Managing Director,Deal/investment team,Managing Director
Optum,TPG,Managing Director,Strategy,Managing Director
Palantir Technologies,Blackstone,Managing Director,Quant/data science,Managing Director
PGIM Investments,Macquarie Asset Management,Global Head of Wealth Channel Marketing,IR (non-capital raising),Senior Managing Director
