Name,Former firm,New firm,New job title,Team (IMP defined),Seniority (IMP defined)
Adam D. Nahari,Pinegrove Venture Partners,"Apollo Global Management, Inc.","Operating Partner, Head of Data, Digital, & AI",Tech,Partner
Akshay Doshi,Natixis CIB Americas,"Apollo Global Management, Inc.","Head of Futures, Clearing, Collateral Management & Client Services",Ops,Senior Managing Director
Amit Rind,GTIS Partners,Blackstone,Managing Director,Investment team,Managing Director
Barbara Richter,Värde Partners,DWS Group,Head of Asset Based Finance,Investment team,Senior Managing Director
Ben Taylor,The Living Company,DWS Group,"Head of Real Estate, Australia",Investment team,Senior Managing Director
Charlotte Taylor,DWS Group,PGIM,"Managing Director, Real Estate Business Development, Head of U.S. East Region & Canada",Business development,Senior Managing Director
Christoph Kaup,NW Technology GmbH,"Apollo Global Management, Inc.",Advisor,Strategy,Advisor
Colin Mazzola,Wellington Management Company,HarbourVest Partners,Chief Technology Officer,Tech,C-level
Harvansh Grover,HDFC Bank,Bain Capital,Managing Director,Strategy,Managing Director
Ian Jack,Hg,Permira,Chief Compliance Officer (CCO),Compliance,C-level
Jeff Chee,WTW,IFM Investors,Global Head of Investment Research,Investment team,Senior Managing Director
Jennifer Rosenbloom,Lippincott,Blue Owl Capital,"Managing Director, Head of Corporate Marketing",Marketing,Managing Director
Michael Korby,Capstone Investment Advisors,The Carlyle Group,Head of Data Transformation,Tech,Managing Director
Michael Pieck,Goldman Sachs,Ares Management Corporation,Managing Director - Head of Client Platforms,Tech,Managing Director
Michael Pontzen,Nobian,The Carlyle Group,Senior Financial Advisor,Strategy,Advisor
Michael Solomon,Advent International,"Apollo Global Management, Inc.","Managing Director, Hybrid Value",Portfolio operations,Managing Director
Nicholas J. Lurvey,Neuberger Berman,KKR,"Managing Director, Head of Investment Implementation",Ops,Managing Director
Peter Meyer,UBS O’Connor,KKR,Managing Director,Investment team,Managing Director
Prakash Chandra,GE Vernova,EQT Group,Advisor,Strategy,Advisor
Rajesh T. Krishnamachari,CoreAI Advisory LLC,"Apollo Global Management, Inc.",Global Head of Quantitative Analytics,Quant/data science,Senior Managing Director
Rob Magnuson,Goldman Sachs Asset Management,KKR,Managing Director,Portfolio operations,Managing Director
Shawna Wolverton,Benchling,EQT Group,Operating Partner - CPO - Early Stage Tech,Ops,C-level
Shervin Korangy,Novartis,TPG,Senior Advisor,Strategy,Advisor
Stefan Natu,Amazon Web Services (AWS),KKR,Global Head of AI Product Management,Tech,Senior Managing Director
Stephen Chu,PIMCO,HarbourVest Partners,"Head of Marketing, Asia Pacific",Marketing,Senior Managing Director
Steve Pace,Thoma Bravo,KKR,GTM Operating Advisor,Strategy,Advisor
Steve Pfeiffer,Beckway,Warburg Pincus LLC,"Operating Advisor, Operations",Ops,Advisor
Sugam Sarin,Point72 Ventures,"Apollo Global Management, Inc.",Managing Director,Investment team,Managing Director
Sugam Sarin,Point72 Ventures,"Apollo Global Management, Inc.",Managing Director,Tech,Managing Director
SungYoul Lee,SAP Korea,Warburg Pincus LLC,Senior Advisor,Strategy,Advisor
Thomas Schleicher,KIRKBI A/S,Blackstone,Senior Advisor,Business development,Advisor
Tim Coolican,Milk Makeup,Blackstone,Senior Managing Director and Operating Partner,Strategy,Senior Managing Director
Tyler Wallace,Fair Oaks Capital,Golub Capital,"Managing Director, European BSL",Investment team,Managing Director
Winnie Ramos,"Oaktree Capital Management, L.P.",Ares Management Corporation,"Managing Director, Head of Australia & New Zealand, Relationship Management APAC",IR (non-capital raising),Managing Director
Douglas Chey,Warburg Pincus LLC,"Apollo Global Management, Inc.",Managing Director,Tech,Managing Director
Lindsay O'Toole,LPL Financial,Mercer Advisors,"SVP, Investment Platform Operations",Allocation,SVP
Patrick Söderlund,Electronic Arts (EA),Nexon,Executive Chairman,Allocation,Advisor
Rachel Tinkler,Mint Asset Management,Fisher Funds,Head of Responsible Investment,Allocation,Senior Managing Director
Richard Saulet,Metro Bank,Hodge Bank,Chief Executive Officer,Allocation,C-level
Sonja Uys Lami,Moonfare,ICG,Global Product Development Director,IR (non-capital raising),Director/Principal
Valbona Schwab,Grinnell College Endowment,Children's Health,Executive Vice President and Chief Investment Officer,Allocation,C-level
Carlos Ballesteros,Crédit Agricole CIB,CVC Credit,Managing Director,Investment team,Managing Director
Visal Leng,PrimeMovers Equity,TPG,Senior Advisor,Strategy,Advisor
John Gonnella,Centerbridge Partners,Starwood Capital Group,"SMD, Head of U.S. Asset Management",Asset Management,Senior Managing Director
Alex Chi,Goldman Sachs,The Carlyle Group,"Partner, Deputy CIO of Global Credit and Head of Direct Lending",Investment team,Partner
Alex Chi,Goldman Sachs,The Carlyle Group,"CEO, Partner, Deputy CIO of Global Credit and Head of Direct Lending",Investment team,Partner
Alistair Ho,Asia Asset Backed Advisors Limited,"Apollo Global Management, Inc.",Managing Director,IR (non-capital raising),Managing Director
Ana Arsov,Moody's Ratings,"HPS Investment Partners, LLC",Senior Advisor and Operating Partner,Strategy,Advisor
Brian Gaede,EY,Ares Management Corporation,"Senior Advisor, Private Equity",Strategy,Advisor
Carli Doers,Perpetual Limited,HarbourVest Partners,Head of Marketing for Global Private Wealth,Business development,Senior Managing Director
Chris Demetriou,21.co,Clearlake Capital Group,"Managing Director - Clearlake Credit, Europe",Strategy,Managing Director
Christian Anderson,Citi,"Apollo Global Management, Inc.",Partner,Strategy,Partner
Christy Lindsay,L&G – Asset Management,KKR,"Managing Director, Global Wealth Solutions - International",Business development,Managing Director
Dominic Maxwell,Marks and Spencer,Bain Capital,Operating Partner,Portfolio operations,Senior Managing Director
Eugene Lim,Blue Owl Capital,TPG,"Managing Director, Head of Asia Private Wealth",Business development,Managing Director
Garry Harrison,Coforge,Brookfield,Senior Advisor,Strategy,Advisor
Gene Kirtser,THL Partners,KKR,Executive Advisor,Strategy,Advisor
Grant Winkel,GLP Capital Partners (GCP),Blue Owl Capital,"Managing Director, Real Assets",Accounting,Managing Director
Heinrich (Heiner) Markhoff,GE,IFM Investors,Senior Advisor,Strategy,Advisor
Hiroshi Suwabe,The TCW Group,"Oaktree Capital Management, L.P.",Managing Director - Capital Formation,Business development,Managing Director
Issa D,Deloitte,Partners Group,Head of Treasury Operations,Ops,Senior Managing Director
Issei Tsurumi,Deutsche Bank,"Apollo Global Management, Inc.","Japan CPM, Managing Director",Structuring,Managing Director
Ivan Pascual Ferrer,BlackRock,HarbourVest Partners,Head of EMEA Wealth,Business development,Senior Managing Director
James Yaffe,,TPG,Strategic Advisor,Strategy,Advisor
Jeffrey Wong,Deutsche Bank,"Apollo Global Management, Inc.","Head of APAC, Global Family Office",Business development,Managing Director
Jesal Mistry,Legal & General Investment Management (LGIM),"Apollo Global Management, Inc.","Managing Director, UK Defined Contribution",Business development,Managing Director
Joe Mattina,Penfund,Blue Owl Capital,"Managing Director, Direct Lending",Investment team,Managing Director
John A,Reqtest,EQT Group,Treasury Advisory,Accounting,Advisor
Jorge Zawerthal Duarte,Hines,Barings,Head of Equity Portfolio Management - Europe Real Estate,Investment team,Senior Managing Director
Josh Hartz,Bain Capital,Partners Group,"Partner, Global Head of Special Opportunities",Strategy,Partner
Kevin Rocque,TD,KKR,Portfolio CIO,Tech,Advisor
Lucy Williams,Savills Investment Management,DWS Group,"Managing Director, Head of Coverage EMEA Real Estate",Business development,Managing Director
Lucy Xin,Goldman Sachs,"Apollo Global Management, Inc.","Managing Director, Cross-Asset CPM",Business development,Managing Director
Manjul Ramchandani,Cortland,EQT Group,Managing Director,Business development,Managing Director
May Hackman,Macquarie Group,Ares Management Corporation,"Managing Director, Chief Accounting Officer, Secondaries",Accounting,C-level
Michael O'Donnell,Elite Technology,TPG,Senior Advisor,HR,Advisor
Michaela Wood,KKR,CVC,"Managing Director (Sports, Media & Entertainment)",Investment team,Managing Director
